Row ID,Variable Code,Variable,Consumption Category,Value,Variable Unit,Date,Reported Year,Prior Year
19000_2021_SAPCE1-2_annual,SAPCE1-2,Total personal consumption expenditures: Goods,Goods,51099.5,Millions of current dollars,12/31/2021,2021,2020
19000_2022_SAPCE1-2_annual,SAPCE1-2,Total personal consumption expenditures: Goods,Goods,54939.6,Millions of current dollars,12/31/2022,2022,2021
19000_1997_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,7419.9,Millions of current dollars,12/31/1997,1997,1996
19000_1998_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,8048.9,Millions of current dollars,12/31/1998,1998,1997
19000_2020_SAPCE1-1_annual,SAPCE1-1,Total personal consumption expenditures,All,120916.6,Millions of current dollars,12/31/2020,2020,2019
19000_1999_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,8638.2,Millions of current dollars,12/31/1999,1999,1998
19000_2000_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,8763,Millions of current dollars,12/31/2000,2000,1999
19000_2001_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,8970.5,Millions of current dollars,12/31/2001,2001,2000
19000_2002_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,9218.2,Millions of current dollars,12/31/2002,2002,2001
19000_2003_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,9494.5,Millions of current dollars,12/31/2003,2003,2002
19000_2004_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,9988.1,Millions of current dollars,12/31/2004,2004,2003
19000_2005_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,10126.5,Millions of current dollars,12/31/2005,2005,2004
19000_2006_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,10276.1,Millions of current dollars,12/31/2006,2006,2005
19000_2007_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,10508.8,Millions of current dollars,12/31/2007,2007,2006
19000_2008_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,10081,Millions of current dollars,12/31/2008,2008,2007
19000_2009_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,10046.3,Millions of current dollars,12/31/2009,2009,2008
19000_2010_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,10523.7,Millions of current dollars,12/31/2010,2010,2009
19000_2011_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,10899.7,Millions of current dollars,12/31/2011,2011,2010
19000_2012_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,11406.8,Millions of current dollars,12/31/2012,2012,2011
19000_2013_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,11897.1,Millions of current dollars,12/31/2013,2013,2012
19000_2014_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,12391.6,Millions of current dollars,12/31/2014,2014,2013
19000_2015_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,13003.1,Millions of current dollars,12/31/2015,2015,2014
19000_2016_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,13569.7,Millions of current dollars,12/31/2016,2016,2015
19000_2017_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,14189.7,Millions of current dollars,12/31/2017,2017,2016
19000_2018_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,14627.7,Millions of current dollars,12/31/2018,2018,2017
19000_2019_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,14628.2,Millions of current dollars,12/31/2019,2019,2018
19000_2020_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,15739.2,Millions of current dollars,12/31/2020,2020,2019
19000_2021_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,18851.4,Millions of current dollars,12/31/2021,2021,2020
19000_2022_SAPCE1-3_annual,SAPCE1-3,Total personal consumption expenditures: Durable goods,Durable goods,19410.6,Millions of current dollars,12/31/2022,2022,2021
19000_1997_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,3377.3,Millions of current dollars,12/31/1997,1997,1996
19000_2003_SAPCE1-1_annual,SAPCE1-1,Total personal consumption expenditures,All,70550.3,Millions of current dollars,12/31/2003,2003,2002
19000_1998_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,3688.5,Millions of current dollars,12/31/1998,1998,1997
19000_1999_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,3992.2,Millions of current dollars,12/31/1999,1999,1998
19000_2000_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,3954.4,Millions of current dollars,12/31/2000,2000,1999
19000_2001_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,4198.9,Millions of current dollars,12/31/2001,2001,2000
19000_2002_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,4231.9,Millions of current dollars,12/31/2002,2002,2001
19000_2003_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,4164.3,Millions of current dollars,12/31/2003,2003,2002
19000_2004_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,4266.5,Millions of current dollars,12/31/2004,2004,2003
19000_2005_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,4130.9,Millions of current dollars,12/31/2005,2005,2004
19000_2006_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,3920,Millions of current dollars,12/31/2006,2006,2005
19000_2007_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,4100.1,Millions of current dollars,12/31/2007,2007,2006
19000_2008_SAPCE1-4_annual,SAPCE1-4,Total personal consumption expenditures: Motor vehicles and parts,Motor vehicles and parts,3755.5,Millions of current dollars,12/31/2008,2008,2007
